title,field
A Novel MICS Receiver with FSK Dual Band Demodulator,Computer Science
Exhibition Projects of the Vinnytsya Regional Museum during the Critical Phase of Russia's War in Ukraine,Social Sciences
"Deep Learning and Machine Learning for Malaria Detection: Overview, Challenges and Future Directions",Computer Science
UAV and Satellite-Based Sensing to Map Ecological States at the Landscape Scale,Environmental Science
Author Correction: Enhancement of trans-cleavage activity of Cas12a with engineered crRNA enables amplified nucleic acid detection,"Biochemistry, Genetics and Molecular Biology"
Moderate walking speed predicts hospitalisation in hypertensive patients with cardiovascular disease,Medicine
"Structural, magnetic and electric-polarization properties of geometrically frustrated YBaCo<sub>4</sub>O<sub>7</sub>and DyBaCo<sub>4</sub>O<sub>7</sub>cobaltites",Physics and Astronomy
Non-enzymatic action of expansins,"Biochemistry, Genetics and Molecular Biology"
"Correction: Kim et al. Diagnostic Value of Multiple Serum Biomarkers for Vancomycin-Induced Kidney Injury. J. Clin. Med. 2021, 10, 5005",Medicine
"Geographies of dissociation: informality, ethical codes and fragmented labour regimes in the Sri Lankan apparel industry","Business, Management and Accounting"
A Social Internet of Things Smart City Solution for Traffic and Pollution Monitoring in Cagliari,Environmental Science
"A new strategy for autologous chondrocyte implantation: autologous mesenchymal stem cell and chondrocyte implantation ""first in man"" study",Medicine
All-dielectric one-dimensional gratings exhibiting Fano resonances in the terahertz region,Engineering
Chronotherapy,Neuroscience
Big Data Value Chain: Making Sense of the Challenges,"Business, Management and Accounting"
Momentum Model-Based Minimal Parameter Identification of a Space Robot,Engineering
Exceptionally cold water days in the southern Taiwan Strait: their predictability and relation to La Niña,Environmental Science
ADAPTIVE SELLING BEHAVIOUR: A STUDY AMONG SALESPERSON IN PHARMACEUTICAL INDUSTRY,"Business, Management and Accounting"
MEASURING STUDENT’S LOGICAL REASONING SKILLS OF CHINESE SENIOR HIGH SCHOOL USING RASCH MEASUREMENT MODEL,Social Sciences
Derivation of real metrics of long term patient and analytical variation of three hemoglobin A1c assays demonstrates both borderline and highly acceptable analytical performance,Medicine
Breaking the glass ceiling in academia,Social Sciences
Arc Stability Characterization of Double Coated Electrodes for Hardfacing,Engineering
"How Anxious are Online ESP Learners? Exploring Students’ Anxiety in Video, Audio and Text-Based Communication in an Online Classroom",Social Sciences
EE284 Cost-Effectiveness of Pembrolizumab in Combination With Chemotherapy As First-Line Treatment of Advanced or Metastatic Esophageal Cancer or HER2-Negative Gastroesophageal Junction Adenocarcinoma in France,Medicine
Rapid and sustained improvement of cutaneous lichen planus with oral JAK1 inhibitors,Dentistry
Stereotactic Body Radiation Therapy for Spinal Metastases: Benefits and Limitations,Medicine
DNN-Based H∞ Control Scheme of Nonlinear Time-Varying Dynamic Systems With External Disturbance and its Application to UAV Tracking Design,Engineering
Emergent chirality in the electric polarization texture of titanate superlattices,Materials Science
"Appraisal of suspended growth process for treatment of mixture of simulated petroleum, textile, domestic, agriculture and pharmaceutical wastewater",Environmental Science
"Considerations on the suppression of charged particles and <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msup><mml:mi>π</mml:mi><mml:mn>0</mml:mn></mml:msup></mml:math> in high-energy heavy-ion collisions",Physics and Astronomy
A logic model for pharmaceutical care,Medicine
Continuity Business of Coffee Shop in Malang City in the Facing of Covid-19 Pandemic,Social Sciences
"Amantadine in unvaccinated patients with early, mild to moderate <scp>COVID</scp>‐19: A randomized, placebo‐controlled, double‐blind trial",Medicine
An optimization technique for simultaneous reduction of PAPR and out‐of‐band power in NC‐OFDM‐based cognitive radio systems,Engineering
Relative Effectiveness of Conceptual Change Texts with Concept Cartoons and 5E Learning Model with Simulation Activities on Pre-Service Teachers’ Conceptual Understanding of Waves,Social Sciences
EC 3.4.21.1,Materials Science
QUALITY OF DRINKING WATER AND ADOLESCENTS’ TASK PERFORMANCE IN THE SOUTH OF THE RUSSIAN FAR EAST,Medicine
Socio-economic profile of craftsmen involved in Mojari craft of Rajasthan and Jutti craft of Punjab,Agricultural and Biological Sciences
Inovasi Geomembran dan Peran Stakeholders pada Usaha Tambak Garam Rakyat,Social Sciences
Sacubitril/Valsartan Improves Progression of Early Diabetic Nephropathy in Rats Through Inhibition of NLRP3 Inflammasome Pathway,"Biochemistry, Genetics and Molecular Biology"
Formation of a Policy for Protecting the Electoral Model of Political Participation Against Disinformation Influence (On the Example of the Policy of the European Union),Social Sciences
Using Yarning to Improve Cardiac Care at a Metropolitan Hospital,Health Professions
Hazardous Area Classification in Simultaneous Production and Drilling at Oil and Gas Platform,Decision Sciences
Characterization of inner product spaces and quadratic functions by some classes of functions,Computer Science
Hepatitis B Virus Reactivation in Gastrointestinal Stromal Tumor Patients Treated With Imatinib,Medicine
RETRACTED: Research on decision-making strategy of soccer robot based on multi-agent reinforcement learning,Computer Science
Suggested Curricular Guidelines for Musculoskeletal and Sports Medicine in Physical Medicine and Rehabilitation Residency Training,Medicine
Untargeted plasma metabolomic analysis of wild bottlenose dolphins (Tursiops truncatus) indicate protein degradation when in poorer health,Nursing
Evidence based models of care for the treatment of alcohol use disorder in primary health care settings: a systematic review,Medicine
Self-confidence and executive presence an image consulting process,"Business, Management and Accounting"
Cyclotron quantization and mirror-time transition on nonreciprocal lattices,Physics and Astronomy
The Prescription of Drugs That Inhibit Organic Anion Transporters 1 or 3 Is Associated with the Plasma Accumulation of Uremic Toxins in Kidney Transplant Recipients,Medicine
"Clinicopathological Studies on Brucellosis in Sheep and Goat at Matrouh Governorate, Egypt",Veterinary
Traditions and innovations in lighting of libraries,Social Sciences
THE CONCEPTS OF “TEACHER’S PROFESSIONAL-CREATIVE DEVELOPMENT” IN THE SYSTEM OF RELATED CONCEPTS,Computer Science
OLFACTORY IMPAIRMENT AND MICROSTRUCTURAL INTEGRITY OF THE BRAIN IN THE ARIC STUDY,Neuroscience
Effects of cryogenic treatment on mechanical properties and crystal orientation of 0.25C-0.80Si-1.6Mn steel with extraordinary strength-toughness,Materials Science
Heterozygous loss of <i>Zbtb38</i> leads to early embryonic lethality via the suppression of <i>Nanog</i> and <i>Sox2</i> expression,"Biochemistry, Genetics and Molecular Biology"
Developments in the MPI‐M Earth System Model version 1.2 (MPI‐ESM1.2) and Its Response to Increasing CO<sub>2</sub>,Environmental Science
Perceptions of physical activity guidelines among wheelchair users with multiple sclerosis,Medicine
Synchronous Acute Appendicitis and Cholecystitis in a Paediatric Patient with Salmonella Enteritis,Medicine
Genetics and Breeding of Fruit Trees,Agricultural and Biological Sciences
scQUEST: Quantifying tumor ecosystem heterogeneity from mass or flow cytometry data,"Biochemistry, Genetics and Molecular Biology"
Diagnostic tests for COVID-19 detection: A hybrid methodology,Medicine
Kinetic Energy and Momentum Coefficients for Egyptian Irrigation Canals,Engineering
Effects of intravenous oxycodone alone or in combination with naltrexone on measures of respiratory depression: a randomized placebo-controlled study,Medicine
Advanced electrochemical oxidation for the simultaneous removal of manganese and generation of permanganate oxidant,Chemistry
"Sounds, Memories and Affects: Double Capture in a Relational Artistic Experience",Social Sciences
"The effect of gender, level of education and age on socio-cultural perceptions of women in leadership: Case of Kadoma urban district secondary schools in Zimbabwe",Social Sciences
P348 An insight into the confidence and skills needed to provide care at the end of life for people with cystic fibrosis,Medicine
Response of Foraminifera to Anthropogenic Nicotine Pollution of Cigarette Butts: An Experimental Approach,Environmental Science
Simulations of relativistic quantum plasmas using real-time lattice scalar QED,Physics and Astronomy
Is world trade slowing down? New evidence on trade-income elasticity,"Economics, Econometrics and Finance"
BCH volume 35 issue 1 Cover and Front matter,
Analysis of Implementation Project-Based Learning Model of Teaching Integrated with Computer Programming in Improving Computational Thinking Skills in a Classical Mechanics Course,Computer Science
"Evaluating the Impact of Hazara Motorway on Tourism Growth Under the China-Pakistan Economic Corridor in Hazara Region, Khyber Pakhtunkhwa, Pakistan","Economics, Econometrics and Finance"
Improving Customers Satisfaction through Significance of Technical Attribute in QFD Studies,"Business, Management and Accounting"
Transmetalation from Magnesium–NHCs—Convenient Synthesis of Chelating π-Acidic NHC Complexes,Chemistry
"A Study on Users Perception and Awareness towards Digital Payment Security Threats among Youngsters in Chennai, Tamil Nadu, India","Business, Management and Accounting"
Prenatal diagnosis of cleft lip and cleft lip palate – a case series,"Biochemistry, Genetics and Molecular Biology"
Adjustment method and understanding of water-cut recovery period in polymer injection block,Engineering
Organic cabbage growth using green manure in pre-cultivation and organic top dressing fertilization,Agricultural and Biological Sciences
Normal fecal calprotectin levels in healthy children are higher than in adults and decrease with age,Medicine
Reassembling Heritage after the Disaster: On the Sungnyemun Debate in South Korea,Arts and Humanities
COMPARISON OF RISK DISCRIMINATION BETWEEN REVEAL RISK SCORE CALCULATORS IN PATIENTS FROM THE PATENT STUDIES OF RIOCIGUAT IN PULMONARY ARTERIAL HYPERTENSION,Medicine
"SMEs during the COVID-19 Pandemic Crisis. The Sources of Problems, the Effects of Changes, Applied Tools and Management Strategies—The Example of Poland","Economics, Econometrics and Finance"
Editorial: Exosomes: Message in a vesicle,"Biochemistry, Genetics and Molecular Biology"
Epistasis at the SARS-CoV-2 Receptor-Binding Domain Interface and the Propitiously Boring Implications for Vaccine Escape,Medicine
Feasibility of urban bird occurrence and nest amount evaluation by the street-view image virtual survey,Environmental Science
"Resolution of the Council of Experts of May 20, 2023 ""Issues of safety in the treatment of a rheumatological patient""",Medicine
The effects of substrate and sediment burial on survival of developing pallid sturgeon (Scaphirhynchus albus) and shovelnose sturgeon (S. platorynchus) embryos,Environmental Science
Socio-Psychological Characteristics of People Involved in Network Trolling,Social Sciences
COMMON FIXED POINTS IN COMPLEX VALUED Ab-METRIC SPACE K. ANTHONY SINGH AND M.R. SINGH,Physics and Astronomy
"Questioning the canon: Colonial history, counter-memory and youth activism",Psychology
Experiences of Healthcare Workers Working in COVID-19 Isolation Wards in Lesotho: A Qualitative Study,"Economics, Econometrics and Finance"
Diagnostics of the technical condition of electric network equipment based on fuzzy expert estimates,Engineering
SIP SMART: a parallel group randomised feasibility trial of a tailored pre-treatment swallowing intervention package compared with usual care for patients with head and neck cancer,Health Professions
Special Issue on Low-Cost Wide-Angle Beam-Scanning Antennas,Engineering
A Preference for Peers over Faculty in the Pandemic Era: Development and Evaluation of a Medical Student-led Virtual Physiology Exam Review,Medicine
"Elections, Heterogeneity of Central Bankers and Inflationary Pressure: The case for staggered terms for the president and the central banker","Economics, Econometrics and Finance"
Neutron monitor count rate increase as a proxy for dose rate assessment at aviation altitudes during GLEs,Physics and Astronomy
"Host-shifts at family level in the Australian Acacia-thrips lineage (Thysanoptera, Phlaeothripinae) with two new species",Agricultural and Biological Sciences
Integrating measurements of pulmonary gas exchange to answer clinically relevant questions,Medicine
Research on Teaching Reform of College Physics and Experimental Courses Based on Learning Communication,Social Sciences
Tree-Based Real-Time Advertisement Recommendation System in Online Broadcasting,Computer Science
Optimization Design by Genetic Algorithm Controller for Trajectory Control of a 3-RRR Parallel Robot,Engineering
Merits of a harmonised system to classify drug-related problems in Singapore,Medicine
Online Spectrogram Inversion for Low-Latency Audio Source Separation,Computer Science
Dynamic service migration in ultra-dense multi-access edge computing network for high-mobility scenarios,Computer Science
SAT-506 Identification of a Mutation in AP2S1 Causing Familial Hypocalciuric Hypercalcemia Type 3 in a Patient with Unknown Family History of the Disease,Medicine
PENGARUH VARIASI WAKTU TAHAN SINTERING TERHADAP HIDROKSIAPATIT BERPORI DARI TULANG IKAN TENGGIRI (Scomberomorus guttatus),Agricultural and Biological Sciences
Considering human cognitive architecture in stressful medical prehospital interventions might benefit care providers,Medicine
"Spatial and temporal fluctuation of groundwater depth in Amibara, middle Awash, Ethiopia",Earth and Planetary Sciences
Innovative Method for Automatic Shape Generation and 3D Printing of Reduced-Scale Models of Ultra-Thin Concrete Shells,Engineering
Transcranial detection of amyloid‐beta at single plaque resolution in vivo with large‐field multifocal illumination fluorescence microscopy,Medicine
برنامج وقائى مقترح من منظور الممارسة العامة للخدمة الاجتماعیة لتوعیة أسر اطفال الروضة بالآثار السلبیة للأفلام الكرتونیة,
Frequency Domain Analysis of Nigeria All Share and Capital Index from 1989-2010 (A Case Study of Nigerian Stock Market),"Economics, Econometrics and Finance"
Mercury bioaccumulation in temperate forest food webs associated with headwater streams,Environmental Science
The Role of Neutrophils and Neutrophil Extracellular Traps in Acute Pancreatitis,Immunology and Microbiology
Table of Contents,
Element-Selective Molecular Charge Transport Characteristics of Binuclear Copper(II)-Lanthanide(III) Complexes,Engineering
"Waqf-based private forest management model: case study in Bogor Regency, Indonesia",Social Sciences
Cover Feature: Thermal Activation of CH<sub>4</sub> and H<sub>2</sub> as Mediated by the Ruthenium Oxide Cluster Ions [RuO<sub><i>x</i></sub>]<sup>+</sup> (<i>x=</i>1–3): On the Influence of Oxidation States (Chem. Eur. J. 14/2019),Materials Science
Longitudinal outcomes for educational placement and quality of life in a prospectively recruited multinational cohort of children with cochlear implants,Neuroscience
Modeling cortical spreading depression induced by the hyperactivity of interneurons,Medicine
"Assessment of Knowledge, Attitudes, and Practices of Traditional Healers toward Dosage Forms and Routes of Administration: A Cross‐Sectional Study in Ethiopia",Social Sciences
The Early Peritoneal Cavity Immune Response to Vibrio Anguillarum Infection and to Inactivated Bacterium in Olive Flounder (Paralichthys olivaceus),Immunology and Microbiology
‘Who wants to silence us’? Perceived discrimination of conspiracy theory believers increases ‘conspiracy theorist’ identification when it comes from powerholders – But not from the general public,Social Sciences
SQL to NoSQL : What to do and How,Computer Science
"Co-occurrence of leukemia, Crohn’s disease, and tuberous sclerosis in one patient",Medicine
"Study on Trade Facilitation and Trade Potentiality of ""the Belt and Road"" Countries",Social Sciences
GAMIFICATION AS A FACTOR OF SOCIAL ADEQUACY OF DIFFERENT TYPES OF SOCIAL SYSTEMS,Social Sciences
A cross sectional knowledge attitude practice study on therapeutic drug monitoring among health care professionals in a tertiary care hospital,Medicine
Long-range connections are crucial for synchronization transition in a computational model of Drosophila brain dynamics,Neuroscience
Covid-19 and New Onset Diabetes: A Case Series,Medicine
A non-static quantum inspired spacetime in f(R) gravity: Gravity's rainbow,Physics and Astronomy
Endoplasmic reticulum chaperone GRP78 mediates cigarette smoke-induced necroptosis and injury in bronchial epithelium,"Biochemistry, Genetics and Molecular Biology"
UV Absorption Spectrum for Dissolved Oxygen Monitoring: A Low-Cost Proposal for Water Quality Monitoring,Environmental Science
Identification of ideal aristotelian tragic hero in general zia of mohammed hanif’s ‘a case of exploding mangoes’,Social Sciences
THE FUNCTIONAL MODELING METHODS USING TO JUSTIFICATION THE SPACE AND ROCKET COMPLEX OPERATION SYSTEM APPEARANCE,Engineering
Low-carbon transition toward green recovery: policy framework after COVID-19,"Economics, Econometrics and Finance"
The effect of carbon nanotubes on osteogenic functions of adipose-derived mesenchymal stem cells in vitro and bone formation in vivo compared with that of nano-hydroxyapatite and the possible mechanism,Engineering
Single and Multiple Odontogenic Cutaneous Sinus Tracts,Dentistry
Molecular basis of inhibition of acid sensing ion channel 1A by diminazene,"Biochemistry, Genetics and Molecular Biology"
Social Support and Coping Style of Medical Residents in China: The Mediating Role of Psychological Resilience,Psychology
Multi-objective optimal design of mechanical metafilters based on principal component analysis,Engineering
Insights into the Function of Aquaporins in Gastrointestinal Fluid Absorption and Secretion in Health and Disease,"Biochemistry, Genetics and Molecular Biology"
Websites and Scientific Publishing: A Theoretical Study,Computer Science
Mutation Type and Intracranial Aneurysm Formation in Autosomal Dominant Polycystic Kidney Disease,"Biochemistry, Genetics and Molecular Biology"
The Role of Immune Cells in Liver Regeneration,Medicine
Tests and Assessment of the Contact Surface of Selected Measuring Tires of Friction Testers with the Airport Surface Depending on Changes in Pressure and Load,Engineering
"TRANSPORTATION MODE CHOICE AND OBESITY: A CROSS-SECTIONAL STUDY AT SENIOR HIGH SCHOOL FEMALE STUDENT IN YOGYAKARTA, INDONESIA",Medicine
Credit components and their impact on the profitability of banks,"Business, Management and Accounting"
Cx43 regulates mechanotransduction mechanisms in human preterm amniotic membrane defects,Medicine
Modulation of histamine H&lt;sub&gt;4&lt;/sub&gt; receptor signaling by transglutaminase and histamine transporter in mast cells,Immunology and Microbiology
"Analisis Dana Zakat, Penerimaan Non Halal, dan Corporate Social Responsibility (CSR) Pada Bank Syariah Di Indonesia",Social Sciences
TCT-702 Impact of Transcatheter Aortic Valve Replacement on Anemia: New Approach to Heyde’s Syndrome,Medicine
Remote Sensing using Hybrid Access Cognitive Femtocell Networks in Wireless Communication,Computer Science
Nephron Progenitor Maintenance Is Controlled through Fibroblast Growth Factors and Sprouty1 Interaction,"Biochemistry, Genetics and Molecular Biology"
Mesh Properties for RANS Simulations of Airfoil-Shaped Profiles: A Case Study of Rudder Hydrodynamics,Engineering
ROR1-targeted delivery of miR-29b induces cell cycle arrest and therapeutic benefit in vivo in a CLL mouse model,Medicine
Application of machine learning to assess people's perception of household energy in the developing world: A case of Nepal,Environmental Science
"Effect of Mutagens on the Proximate, Mineral and Anti-nutrient Composition of Phaseolus lunatus L. Seeds",Agricultural and Biological Sciences
"Talk, talk, talk: exploring idea conversations and the micro-level foundations of knowledge sharing for innovation",Social Sciences
Characterization of a New Cyclohexylamine Oxidase From Acinetobacter sp. YT-02,"Biochemistry, Genetics and Molecular Biology"
Coordinating invasive alien species management in a biodiversity hotspot: The CAPE Invasive Alien Animals Working Group,Environmental Science
The Electrochemical Performance of Mg-F Co-doped Spinel LiNi0.5Mn1.5O4 Cathode Materials for Lithium-Ion Battery,Engineering
"Advancements in Triboelectric Nanogenerators (TENGs) for Intelligent Transportation Infrastructure: Enhancing Bridges, Highways, and Tunnels",Engineering
Non-destructive techniques for evaluating the reliability of high frequency active devices,Engineering
Eosinophilic oesophagitis in Denmark: Population‐based incidence and prevalence in a nationwide study from 2008 to 2018,Medicine
Purpura Fulminans After Varicella Infection and Pulmonary Embolism After COVID-19 Infection in Familial Mediterranean Fever: Coincidence or Not?,"Biochemistry, Genetics and Molecular Biology"
Auger electron spectroscopy for surface ferroelectric domain differentiation in selectively poled MgO:LiNbO<sub>3</sub>,Physics and Astronomy
Chemical Composition and Antifungal Activity of the Essential Oils of Algerian Vitex agnus-castus and Artemisia Herba-alba,Agricultural and Biological Sciences
Buffering variability in cell regulation motifs close to criticality,Environmental Science
Saving species in a snap: On the feasibility and efficacy of augmented reality-based wildlife interactions for conservation,Psychology
The Pan-Sirtuin Inhibitor MC2494 Regulates Mitochondrial Function in a Leukemia Cell Line,Medicine
Low-chirp push-pull dual-ring modulator with 144 Gb/s PAM-4 data transmission,Engineering
Assessment of the upstream slope failure of a dam due to repeated cyclic drawdown,Engineering
Analisis Penyebab Eksploitasi Anak di Bawah Umur Pada Saat Pandemi Covid-19,Social Sciences
Screening of 3-acetylcoumarin derivatives as multifunctional biological agents,Chemistry
Big Data and Its Applications,Health Professions
Is cardiac magnetic resonance imaging a game changer in re-ablation of atrial fibrillation?—Authors’ reply,Medicine
"Socioeconomic inequalities, psychosocial stressors at work and physician-diagnosed depression: Time-to-event mediation analysis in the presence of time-varying confounders",Health Professions
"Knowledge and Attitude’s Men in Family Planning with Stop Motion Video Design in the Working Area of Singaparna Health Center of Tasikmalaya District, 2019",Health Professions
Numerical Simulation and Analysis of Diffusion Process for the Leakages of a Tunnel LNG Pipeline,Engineering
Van der Waals Heterostructures: Temperature‐Dependent Electronic Ground‐State Charge Transfer in van der Waals Heterostructures (Adv. Mater. 29/2021),Materials Science
Job Autonomy sebagai Moderator pada Pengaruh Job Insecurity terhadap Perilaku Kerja Inovatif,Social Sciences
Pengembangan Game Edukasi Berbasis Android Sebagai Media Pembelajaran Untuk Anak Usia Dini,Social Sciences
The Effect of Titanium Nitride Thickness as a Support Layer for Carbon Nanotubes Growth,Materials Science
Fostering University Students’ Idea Generation and Idea Evaluation Skills With a Cognitive-Based Creativity Training,Psychology
Dampak Korea Wave Terhadap Prilaku Remaja Di Era Globalisasi,Social Sciences
The Road to Healthy Ageing: What Has Indonesia Achieved So Far?,Health Professions
0651 REM Sleep Without Atonia (RSWA) And Neuropsychological Function In REM Sleep Behavior Disorder,Neuroscience
Review of phytochemical and nutritional characteristics and food applications of Citrus L. fruits,Medicine
"Human-Centered Design of Video-Based Health Education: An Iterative, Collaborative, Community-Based Approach",Health Professions
Poor Tom and the linguistic performance of monstrosity in <i>King Lear</i>,Arts and Humanities
"""Fictionis. A synthetic introduction into the mythology of transmission* """,Social Sciences
87P Socio-demographic disparities in esophageal cancer: A SEER analysis,Medicine
Limiting the Rights of Public Officials: Problematic Issues,Social Sciences
Contribution to the research of attitudes about Albanians among Serbs in the Northern Kosovska Mitrovica,"Economics, Econometrics and Finance"
An Integrated Technique for Image Forgery Detection using Block and Keypoint Based Feature Techniques,Computer Science
Effect of pore diameter and length on electrochemical CO<sub>2</sub> reduction reaction at nanoporous gold catalysts,Energy
Beyond Learning Features: Training a Fully-Functional Classifier with ZERO Instance-Level Labels,Computer Science
Nonlinear edge modes from topological one-dimensional lattices,Physics and Astronomy
Sorption properties of materials based on residual biomass,Engineering
BISNIS ONLINE: PREFERENSI KONSUMEN TERHADAP LAYANAN ONLINE FOOD DELIVERY,Social Sciences
A Hyperparameter Optimization Algorithm for the LSTM Temperature Prediction Model in Data Center,Engineering
Dynamic Capabilities and Business Model Innovation of Platform Enterprise: A Case Study of DiDi Taxi,"Business, Management and Accounting"
Structural and Mechanical Characterizations of Top Dross in a Molten Zinc Bath,Engineering
TAPESTRY: A Strategic Management Case Study,"Business, Management and Accounting"
Comparative Study of Artificial Intelligence Techniques for Image Classification,Computer Science
Orbital myiasis on recurrent undifferentiated carcinoma in the COVID-19 era: a case report and brief review of the literature,Agricultural and Biological Sciences
Attachment orientations and loss adjustment among bereaved spouses,Psychology
Different populations of Aedes aegypti and Aedes albopictus (Diptera: Culicidae) from Central Africa are susceptible to Zika virus infection,Medicine
Park Systems,Social Sciences
Development of Bioactive Glass-Collagen-Hyaluronic Acid-Polycaprolactone Scaffolds for Tissue Engineering Applications,Engineering
Prediction of Blood-Brain Barrier Permeability of Compounds by Fusing Resampling Strategies and eXtreme Gradient Boosting,Computer Science
Zinc-chromium layered double hydroxides anchored on carbon nanotube and biochar for ultrasound-assisted photocatalysis of rifampicin,Materials Science
Identifying COVID-19 Prevention Practices among Health Students,"Economics, Econometrics and Finance"
Sino-Indian Engagement in Central Asia: Implications for Pakistan,Social Sciences
4-OGC: Catalog of Gravitational Waves from Compact Binary Mergers,Physics and Astronomy
Polymer Free Amphilimus Drug Eluting Stent for Infrapopliteal Arterial Disease in Patients with Critical Limb Ischemia: A New Device in the Armamentarium,Medicine
How cigarettes became a civil-rights issue,Social Sciences
A New Look At the Mosaic Theory of Hypertension,Medicine
"Predicting Risk of Atherosclerotic Cardiovascular Disease Using Pooled Cohort Equations in Older Adults With Frailty, Multimorbidity, and Competing Risks",Medicine
Do Outcomes in Elective Colon and Rectal Cancer Surgery Differ by Weekday? An Observational Study Using Data From the Dutch ColoRectal Audit,Medicine
Editorial: switching to tenofovir alafenamide monotherapy is effective and safe for other nucleos(t)ide analogues‐treated patients with chronic hepatitis B ‐ author's reply,Medicine
Multi Hazard Analysis of Ponorogo Regency Disaster Based on Geographic Information System,Computer Science
Symptoms of Burnout Syndrome among Physicians during the Outbreak of COVID-19 Pandemic—A Systematic Literature Review,Health Professions
The role of street and park trees to CO<sub>2</sub> removal and improving air quality and climate in urban areas in Najaf (Iraq)Type the title of your paper here,Environmental Science
Derivation and external validation of a 30-day mortality risk prediction model for older patients having emergency general surgery,Medicine
Corrigendum to “Incidence and detection of Beak and Feather disease virus in psittacine birds in the UAE” [Biomol. Detect. Quantif. 6 (January) (2016) 27–32],Agricultural and Biological Sciences
Biological Hazards for Healthcare Workers: Occupational Exposure to Vancomycin-Resistant &lt;b&gt;&lt;i&gt;Staphylococcus aureus&lt;/i&gt;&lt;/b&gt; as an Example of a New Challenge,Medicine
The long-term environmental risks from the aging of organochlorine pesticide lindane,Environmental Science
Relay fusion frames and bridging results for fusion frames,Mathematics
Construction risk evaluation of power mass entrepreneurship and innovation demonstration park under collaborative innovation,Computer Science
Inmigración y empleo en Costa Rica: un análisis con perspectiva de género a partir de la encuesta continua de empleo,Social Sciences
A Nutrition-Longevity Tradeoff Enforced by Innate Immunity,"Biochemistry, Genetics and Molecular Biology"
Editorial Board/Aims and Scope,
Classical mechanical dyssynchrony is rare in transcatheter aortic valve implantation-induced left bundle branch block,Medicine
"Ct Diagnosis of Fahr’s Disease, A Case Report",Medicine
A novel prognostic model of methylation-associated genes in acute myeloid leukemia,Medicine
Association between fasting blood glucose levels and stroke events: a large-scale community-based cohort study from China,Medicine
"PHENOMENON OF ASYMMETRY OF INTERNAL TIME, TAKING INTO ACCOUNT THE INSTABILITY AND IRREVERSIBILITY OF PROCESSES IN THE THEORY OF FORECASTING THE STATE OF COMPLEX DYNAMICAL SYSTEMS","Business, Management and Accounting"
Information Spillovers Prior to M&amp;A Announcements,"Economics, Econometrics and Finance"
Hooked: Art and Attachment,Arts and Humanities
Diversity of the Madden-Julian Oscillation,Environmental Science
Diagnostic consistency between admission and discharge of pediatric cases in a tertiary teaching hospital in China,Medicine
Trans-limb embolization for treatment of Type 2 endoleak post EVAR: Case report,Medicine
"Comparisons of Dipstick Test, Urine Protein-to-Creatine Ratio, and Total Protein Measurement for the Diagnosis of Preeclampsia",Medicine
Circulating Endothelial Progenitor Cells Are Preserved in Female Mice Exposed to Ambient Fine Particulate Matter Independent of Estrogen,Environmental Science
Analyzing local perceptions toward the new nuclear research reactor in Thailand,Social Sciences
Governing public health emergencies during the coronavirus disease outbreak: Lessons from four Chinese cities in the first wave,Mathematics
MOLISENS: MObile LIdar SENsor System to exploit the potential of small industrial lidar devices for geoscientific applications,Physics and Astronomy
On some implications of the BaBar data on the γ⁎η′ transition form factor,Physics and Astronomy
Automated brain tumour identification using magnetic resonance imaging: a systematic review and meta-analysis,Neuroscience
Changing Characteristics of a Significant Part of the Urban Fringe in Ankara: İmrahor Valley,Social Sciences
CYCLICAL TAX ENFORCEMENT,"Economics, Econometrics and Finance"
An Experimental Investigation on High Strength Self-Compacting Concrete Using Jute Fibre,Engineering
"Research skills development in physics laboratories located in regional headquarters of the Universidad Industrial de Santander, Colombia",Computer Science
„So Far and No Further!” – Thoughts on Legitimacy of the Hungarian Border Fence,Social Sciences
A Novel Electrocardiogram Biometric Identification Method Based on Temporal-Frequency Autoencoding,Medicine
"Insight into the species identification and distribution of Grateloupiaceae (Halymeniales, Rhodophyta) having Grateloupia filicina-like morphology in the Northwest Pacific",Earth and Planetary Sciences
From free to forced adaptation: A political ecology of the ‘state‐society‐flood’ nexus in the Vietnamese Mekong Delta,Social Sciences
Secretion of Acid Sphingomyelinase and Ceramide by Endothelial Cells Contributes to Radiation-Induced Intestinal Toxicity,Medicine
When does every definable nonempty set have a definable element?,Mathematics
Vibration reduction on a cantilever Timoshenko beam control subjected to combined effects of wind and earthquake loads using damped outriggers,Engineering
Татарский язык в Татарстане в условиях новых подходов к освоению родного языка,Social Sciences
Trends in Fatalities in Motorcycle Accidents in Great Britain With Reference to the Studies by Hugh Cairns,Engineering
"Debris flow amplification in a moraine terrace and related engineering measures in the Zongzhai Valley, Southeastern Tibetan Plateau",Environmental Science
Comment on: ‘Is undergraduate ophthalmology teaching in the United Kingdom still fit for purpose?’,Medicine
Thyroid hormone status during pregnancy in Bangladesh,Medicine
Parental Satisfaction with Caregiving across the Life Span to Their Children with Developmental Disabilities: A Cross-Sectional Study in Iran,Psychology
Meshing strategies for 3d geo-electromagnetic modeling in the presence of metallic infrastructure,Earth and Planetary Sciences
"LEGAL PROFESSIONS, MERCHANT ASSOCIATIONS, AND THE “CUSTOMARY LAW” ISSUE IN QING CHINA",Social Sciences
"Pathophysiology, emerging techniques for the assessment and novel treatment of aortic stenosis",Medicine
